Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
28,A6R002,Glen Alpine Dam ,Glen Alpine,23.19201,28.697399999999998,LP,1,Mogalakwena River @ Glen Alpine Dam,11245,18.888999999999999,,2.98,2.906,2.821,2.725,,,2.463,2.419,,2.247,2.173,2.131,2.05,1.99,1.95,4.143,16,15.8,15.4,14.9,14.4,,,13,12.8,,11.9,11.5,11.3,10.9,10.5,10.3,21.9,99.5
32,A8R001,Nzhelele Dam ,Nzhelele,22.725529999999999,30.095089999999999,LP,1,Nzhelele River @ Nzhelele Dam,830,51.234000000000002,,24.684000000000001,23.998000000000001,23.523,23.998000000000001,,,21.795999999999999,21.216999999999999,,19.824000000000002,19.172000000000001,18.706,17.437000000000001,16.879000000000001,16.259,15.294,49.6,48.2,46.8,45.9,46.8,,,42.5,41.4,,38.700000000000003,37.4,36.5,34,32.9,31.7,29.9,83.5
33,A8R002,Luphephe Dam ,Luphephe,22.634530000000002,30.401890000000002,LP,1,Luphephe River @ Luphephe Dam,109,13.984,,2.03,1.906,2.151,2.475,,,2.205,2.19,,2.065,1.962,1.888,1.747,1.718,1.676,1.808,15.3,14.5,13.6,15.4,17.7,,,15.8,15.7,,14.8,14,13.5,12.5,12.3,12,12.9,69.5
34,A8R003,Nwanedzi Dam ,Nwanedzi,22.63496,30.398610000000001,LP,1,Nwanedzi River @ Nwanedzi Dam,156,5.144,,1.827,1.813,1.992,1.961,,,1.936,1.95,,1.95,1.947,1.947,1.953,1.967,1.981,2.009,35.6,35.5,35.299999999999997,38.700000000000003,38.1,,,37.6,37.9,,37.9,37.9,37.9,38,38.200000000000003,38.5,39.1,61.4
35,A8R004,Mutshedzi Dam ,Mutshedzi,22.945499999999999,30.164470000000001,LP,1,Mutshedzi River @ Mutshedzi Dam,94,2.336,,1.475,1.459,1.392,1.342,,,1.039,1.003,,1.003,0.99,0.817,0.759,0.704,0.604,0.928,65.7,63.1,62.5,59.6,57.5,,,44.5,42.9,,42.9,42.4,35,32.5,30.1,25.9,39.700000000000003,99.3
36,A9R001,Albasini Dam ,Albasini,23.106780000000001,30.124970000000001,LP,2,Luvuvhu River @ Albasini Dam,503,28.199000000000002,,21.440999999999999,21.297999999999998,21.27,21.155999999999999,,,20.62,20.564,,20.175999999999998,20.094000000000001,19.928999999999998,19.684999999999999,19.521999999999998,19.521999999999998,19.521999999999998,76.7,76,75.5,75.400000000000006,75,,,73.099999999999994,72.900000000000006,,71.599999999999994,71.3,70.7,69.8,69.2,69.2,69.2,90.8
37,A9R002,Vondo Dam ,Vondo,22.950289999999999,30.35172,LP,2,Mutshindudi River @ Vondo Dam,49,30.446999999999999,,23.373999999999999,21.306000000000001,21.2,21.077999999999999,,,20.332999999999998,20.280999999999999,,20.024999999999999,19.738,19.420000000000002,19.32,19.187000000000001,19.170999999999999,19.154,71.599999999999994,76.8,70,69.599999999999994,69.2,,,66.8,66.599999999999994,,65.8,64.8,63.8,63.5,63,63,62.9,94.4
38,A9R004,Nandoni Dam ,Nandoni,22.973009999999999,30.593170000000001,LP,2,Levhuvhu River @ Nandoni Dam,1446,166.11,,129.31,128.13,127.08,126.57,,,121.98,120.34,,117.99,116.28,114.72,111.2,109.88,112.83,116.41,78.599999999999994,77.8,77.099999999999994,76.5,76.2,,,73.400000000000006,72.400000000000006,,71,70,69.099999999999994,66.900000000000006,66.2,67.900000000000006,70.099999999999994,99
39,B1R001,Witbank Dam ,Witbank,25.891570000000002,29.305209999999999,M,4,Olifants River @ Witbank Dam,3579,104.02,,61.71,,,60.036000000000001,,,58.353000000000002,58.106999999999999,,57.25,56.704000000000001,56.042000000000002,55.384999999999998,54.295999999999999,55.981999999999999,65.192999999999998,60.5,59.3,,,57.7,,,56.1,55.9,,55,54.5,53.9,53.2,52.2,53.8,62.7,87.4
40,B1R002,Middelburg Dam ,Middelburg,25.774979999999999,29.546140000000001,M,4,Little Olifants River @ Middelburg Dam,1592,48.055999999999997,,31.747,31.408999999999999,31.14,30.838999999999999,,,29.628,30.31,,29.532,29.02,28.766999999999999,27.890999999999998,27.399000000000001,27.308,27.952999999999999,67.2,66.099999999999994,65.400000000000006,64.8,64.2,,,61.7,63.1,,61.5,60.4,59.9,58,57,56.8,58.2,93.9
